Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Bacteriophage sp.		isolate: 1292_62783	38018	ASM2576686v1	GCA_025766865.1	GenBank		Complete Genome	93156	93156	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1335_63144	38018	ASM2576689v1	GCA_025766895.1	GenBank		Complete Genome	90251	90251	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1443_33800	38018	ASM2576690v1	GCA_025766905.1	GenBank		Complete Genome	36031	36031	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1562_68037	38018	ASM2576691v1	GCA_025766915.1	GenBank		Complete Genome	92560	92560	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1669_45685	38018	ASM2576694v1	GCA_025766945.1	GenBank		Complete Genome	94162	94162	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1700_42511	38018	ASM2576695v1	GCA_025766955.1	GenBank		Complete Genome	110213	110213	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1713_49496	38018	ASM2576698v1	GCA_025766985.1	GenBank		Complete Genome	96771	96771	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2525_20284	38018	ASM2576699v1	GCA_025766995.1	GenBank		Complete Genome	47242	47242	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2527_18832	38018	ASM2576700v1	GCA_025767005.1	GenBank		Complete Genome	38155	38155	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2780_50628	38018	ASM2576703v1	GCA_025767035.1	GenBank		Complete Genome	46271	46271	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3118_70595	38018	ASM2576704v1	GCA_025767045.1	GenBank		Complete Genome	168459	168459	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3121_76502	38018	ASM2576707v1	GCA_025767075.1	GenBank		Complete Genome	78862	78862	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3122_29775	38018	ASM2576708v1	GCA_025767085.1	GenBank		Complete Genome	94514	94514	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3401_48324	38018	ASM2576709v1	GCA_025767095.1	GenBank		Complete Genome	45980	45980	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3498_66863	38018	ASM2576712v1	GCA_025767125.1	GenBank		Complete Genome	37353	37353	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3509_17389	38018	ASM2576713v1	GCA_025767135.1	GenBank		Complete Genome	91519	91519	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3877_25383	38018	ASM2576714v1	GCA_025767145.1	GenBank		Complete Genome	128106	128106	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3925_83230	38018	ASM2576717v1	GCA_025767175.1	GenBank		Complete Genome	49385	49385	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3931_30968	38018	ASM2576718v1	GCA_025767185.1	GenBank		Complete Genome	100498	100498	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 4280_90610	38018	ASM2576721v1	GCA_025767215.1	GenBank		Complete Genome	89556	89556	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: PF-P012_76560	38018	ASM2576722v1	GCA_025767225.1	GenBank		Complete Genome	92927	92927	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 1934_72714	38018	ASM2576723v1	GCA_025767235.1	GenBank		Complete Genome	93747	93747	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 1990_87507	38018	ASM2576726v1	GCA_025767265.1	GenBank		Complete Genome	94223	94223	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 2015_6367	38018	ASM2576727v1	GCA_025767275.1	GenBank		Complete Genome	92011	92011	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 2060_39807	38018	ASM2576730v1	GCA_025767305.1	GenBank		Complete Genome	43639	43639	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 2122_80214	38018	ASM2576731v1	GCA_025767315.1	GenBank		Complete Genome	92175	92175	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: UC074V2_C064	38018	ASM2588714v1	GCA_025887145.1	GenBank		Complete Genome	15800	15800	2022-10-21		PRJNA881266	SAMN30889823
Bacteriophage sp.		isolate: 3131_29101	38018	ASM2996414v1	GCA_029964145.1	GenBank		Complete Genome	42015	42015	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3077_55974	38018	ASM2996415v1	GCA_029964155.1	GenBank		Complete Genome	42504	42504	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3190_19778	38018	ASM2996416v1	GCA_029964165.1	GenBank		Complete Genome	58922	58922	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3138_57823	38018	ASM2996417v1	GCA_029964175.1	GenBank		Complete Genome	139271	139271	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3206_30171	38018	ASM2996418v1	GCA_029964185.1	GenBank		Complete Genome	96366	96366	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3137_21060	38018	ASM2996419v1	GCA_029964195.1	GenBank		Complete Genome	41506	41506	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3122_48868	38018	ASM2996420v1	GCA_029964205.1	GenBank		Complete Genome	96431	96431	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3075_79973	38018	ASM2996421v1	GCA_029964215.1	GenBank		Complete Genome	93373	93373	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3072_47557	38018	ASM2996422v1	GCA_029964225.1	GenBank		Complete Genome	184922	184922	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3181_23131	38018	ASM2996423v1	GCA_029964235.1	GenBank		Complete Genome	174278	174278	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3154_116297	38018	ASM2996424v1	GCA_029964245.1	GenBank		Complete Genome	42322	42322	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3144_35667	38018	ASM2996425v1	GCA_029964255.1	GenBank		Complete Genome	53191	53191	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3098_57745	38018	ASM2996426v1	GCA_029964265.1	GenBank		Complete Genome	78226	78226	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3072_4310	38018	ASM2996427v1	GCA_029964275.1	GenBank		Complete Genome	72085	72085	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3071_8332	38018	ASM2996428v1	GCA_029964285.1	GenBank		Complete Genome	71936	71936	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3042_75277	38018	ASM2996429v1	GCA_029964295.1	GenBank		Complete Genome	33540	33540	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3229_34453	38018	ASM2996432v1	GCA_029964325.1	GenBank		Complete Genome	66842	66842	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3223_24253	38018	ASM2996433v1	GCA_029964335.1	GenBank		Complete Genome	60193	60193	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3175_11696	38018	ASM2996434v1	GCA_029964345.1	GenBank		Complete Genome	64162	64162	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3167_30969	38018	ASM2996435v1	GCA_029964355.1	GenBank		Complete Genome	62832	62832	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3156_85621	38018	ASM2996436v1	GCA_029964365.1	GenBank		Complete Genome	57938	57938	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3144_35120	38018	ASM2996437v1	GCA_029964375.1	GenBank		Complete Genome	56163	56163	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3122_48634	38018	ASM2996438v1	GCA_029964385.1	GenBank		Complete Genome	151229	151229	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3040_30827	38018	ASM2996439v1	GCA_029964395.1	GenBank		Complete Genome	64275	64275	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3245_67027	38018	ASM2996442v1	GCA_029964425.1	GenBank		Complete Genome	12044	12044	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3222_10617	38018	ASM2996443v1	GCA_029964435.1	GenBank		Complete Genome	33700	33700	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3207_42533	38018	ASM2996444v1	GCA_029964445.1	GenBank		Complete Genome	11158	11158	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3194_95550	38018	ASM2996445v1	GCA_029964455.1	GenBank		Complete Genome	16186	16186	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3186_40448	38018	ASM2996446v1	GCA_029964465.1	GenBank		Complete Genome	13264	13264	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3184_39556	38018	ASM2996447v1	GCA_029964475.1	GenBank		Complete Genome	52836	52836	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3179_12171	38018	ASM2996448v1	GCA_029964485.1	GenBank		Complete Genome	11469	11469	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3175_3025	38018	ASM2996449v1	GCA_029964495.1	GenBank		Complete Genome	39057	39057	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3171_29749	38018	ASM2996450v1	GCA_029964505.1	GenBank		Complete Genome	52940	52940	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3161_11490	38018	ASM2996451v1	GCA_029964515.1	GenBank		Complete Genome	14892	14892	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3138_85847	38018	ASM2996452v1	GCA_029964525.1	GenBank		Complete Genome	11198	11198	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3135_46517	38018	ASM2996453v1	GCA_029964535.1	GenBank		Complete Genome	36054	36054	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3127_15548	38018	ASM2996454v1	GCA_029964545.1	GenBank		Complete Genome	11234	11234	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3125_13774	38018	ASM2996455v1	GCA_029964555.1	GenBank		Complete Genome	11711	11711	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3116_48846	38018	ASM2996456v1	GCA_029964565.1	GenBank		Complete Genome	30728	30728	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3112_94859	38018	ASM2996457v1	GCA_029964575.1	GenBank		Complete Genome	15159	15159	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3108_30873	38018	ASM2996458v1	GCA_029964585.1	GenBank		Complete Genome	54437	54437	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3091_13369	38018	ASM2996459v1	GCA_029964595.1	GenBank		Complete Genome	54036	54036	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3083_29326	38018	ASM2996463v1	GCA_029964635.1	GenBank		Complete Genome	52053	52053	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3075_22312	38018	ASM2996464v1	GCA_029964645.1	GenBank		Complete Genome	16016	16016	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3073_83943	38018	ASM2996465v1	GCA_029964655.1	GenBank		Complete Genome	70164	70164	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3071_5548	38018	ASM2996466v1	GCA_029964665.1	GenBank		Complete Genome	16191	16191	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3064_54045	38018	ASM2996467v1	GCA_029964675.1	GenBank		Complete Genome	15891	15891	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3053_68362	38018	ASM2996468v1	GCA_029964685.1	GenBank		Complete Genome	49906	49906	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3045_53696	38018	ASM2996469v1	GCA_029964695.1	GenBank		Complete Genome	10741	10741	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3036_97611	38018	ASM2996470v1	GCA_029964705.1	GenBank		Complete Genome	72432	72432	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3205_35108	38018	ASM2996472v1	GCA_029964725.1	GenBank		Complete Genome	33597	33597	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3057_78222	38018	ASM2996473v1	GCA_029964735.1	GenBank		Complete Genome	57912	57912	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3047_59210	38018	ASM2996474v1	GCA_029964745.1	GenBank		Complete Genome	196954	196954	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 0990_84332	38018	ASM2996475v1	GCA_029964755.1	GenBank		Complete Genome	33683	33683	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 2674_111299	38018	ASM2996476v1	GCA_029964765.1	GenBank		Complete Genome	62253	62253	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 1721_69925	38018	ASM2996477v1	GCA_029964775.1	GenBank		Complete Genome	30390	30390	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3558_99997	38018	ASM2996478v1	GCA_029964785.1	GenBank		Complete Genome	61069	61069	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2116_69333	38018	ASM2996479v1	GCA_029964795.1	GenBank		Complete Genome	55203	55203	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 4339_26303	38018	ASM2996480v1	GCA_029964805.1	GenBank		Complete Genome	50268	50268	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 4316_53125	38018	ASM2996481v1	GCA_029964815.1	GenBank		Complete Genome	49254	49254	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 4305_71980	38018	ASM2996482v1	GCA_029964825.1	GenBank		Complete Genome	49043	49043	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 2590_62680	38018	ASM2996483v1	GCA_029964835.1	GenBank		Complete Genome	46116	46116	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2441_75771	38018	ASM2996484v1	GCA_029964845.1	GenBank		Complete Genome	48946	48946	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 1332_29625	38018	ASM2996485v1	GCA_029964855.1	GenBank		Complete Genome	54536	54536	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0518_71766	38018	ASM2996486v1	GCA_029964865.1	GenBank		Complete Genome	41204	41204	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0195_16858	38018	ASM2996487v1	GCA_029964875.1	GenBank		Complete Genome	32924	32924	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0052_112881	38018	ASM2996488v1	GCA_029964885.1	GenBank		Complete Genome	56034	56034	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1118_74158	38018	ASM2996489v1	GCA_029964895.1	GenBank		Complete Genome	44685	44685	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 0960_10522	38018	ASM2996490v1	GCA_029964905.1	GenBank		Complete Genome	36774	36774	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 0859_40479	38018	ASM2996491v1	GCA_029964915.1	GenBank		Complete Genome	53300	53300	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 3739_30755	38018	ASM2996492v1	GCA_029964925.1	GenBank		Complete Genome	44748	44748	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3586_59221	38018	ASM2996493v1	GCA_029964935.1	GenBank		Complete Genome	45090	45090	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3462_7589	38018	ASM2996494v1	GCA_029964945.1	GenBank		Complete Genome	49286	49286	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2030_57579	38018	ASM2996495v1	GCA_029964955.1	GenBank		Complete Genome	47063	47063	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 1972_802	38018	ASM2996496v1	GCA_029964965.1	GenBank		Complete Genome	42790	42790	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 4248_50243	38018	ASM2996497v1	GCA_029964975.1	GenBank		Complete Genome	49441	49441	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 0343_27573	38018	ASM2996498v1	GCA_029964985.1	GenBank		Complete Genome	46296	46296	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 3933_79681	38018	ASM2996499v1	GCA_029964995.1	GenBank		Complete Genome	51993	51993	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3833_31665	38018	ASM2996500v1	GCA_029965005.1	GenBank		Complete Genome	40754	40754	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3764_46064	38018	ASM2996501v1	GCA_029965015.1	GenBank		Complete Genome	48794	48794	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2872_32253	38018	ASM2996502v1	GCA_029965025.1	GenBank		Complete Genome	48495	48495	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2857_35005	38018	ASM2996503v1	GCA_029965035.1	GenBank		Complete Genome	55292	55292	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: PF-IP002_98707	38018	ASM2996504v1	GCA_029965045.1	GenBank		Complete Genome	47669	47669	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 2741_3774	38018	ASM2996505v1	GCA_029965055.1	GenBank		Complete Genome	48978	48978	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2563_4369	38018	ASM2996506v1	GCA_029965065.1	GenBank		Complete Genome	48265	48265	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2313_123989	38018	ASM2996507v1	GCA_029965075.1	GenBank		Complete Genome	51634	51634	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2312_154340	38018	ASM2996508v1	GCA_029965085.1	GenBank		Complete Genome	49027	49027	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2211_20166	38018	ASM2996509v1	GCA_029965095.1	GenBank		Complete Genome	45466	45466	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 1898_19260	38018	ASM2996510v1	GCA_029965105.1	GenBank		Complete Genome	50582	50582	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 1858_45061	38018	ASM2996511v1	GCA_029965115.1	GenBank		Complete Genome	48359	48359	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 1350_13194	38018	ASM2996512v1	GCA_029965125.1	GenBank		Complete Genome	55405	55405	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0509_56424	38018	ASM2996513v1	GCA_029965135.1	GenBank		Complete Genome	50669	50669	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0483_15417	38018	ASM2996514v1	GCA_029965145.1	GenBank		Complete Genome	48912	48912	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0320_98653	38018	ASM2996515v1	GCA_029965155.1	GenBank		Complete Genome	47753	47753	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0820_10988	38018	ASM2996516v1	GCA_029965165.1	GenBank		Complete Genome	48956	48956	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 0679_88452	38018	ASM2996517v1	GCA_029965175.1	GenBank		Complete Genome	49189	49189	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: PF-P024_133501	38018	ASM2996518v1	GCA_029965185.1	GenBank		Complete Genome	46734	46734	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 3070_58157	38018	ASM2996519v1	GCA_029965195.1	GenBank		Complete Genome	39794	39794	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 3265_123741	38018	ASM2996520v1	GCA_029965205.1	GenBank		Complete Genome	46782	46782	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3028_31377	38018	ASM2996521v1	GCA_029965215.1	GenBank		Complete Genome	43031	43031	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3006_19330	38018	ASM2996522v1	GCA_029965225.1	GenBank		Complete Genome	32946	32946	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2051_32422	38018	ASM2996523v1	GCA_029965235.1	GenBank		Complete Genome	48647	48647	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 4332_14523	38018	ASM2996524v1	GCA_029965245.1	GenBank		Complete Genome	54611	54611	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 2701_83636	38018	ASM2996525v1	GCA_029965255.1	GenBank		Complete Genome	34344	34344	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2395_3011	38018	ASM2996526v1	GCA_029965265.1	GenBank		Complete Genome	52742	52742	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2348_102712	38018	ASM2996527v1	GCA_029965275.1	GenBank		Complete Genome	50736	50736	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2277_80925	38018	ASM2996528v1	GCA_029965285.1	GenBank		Complete Genome	38904	38904	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2124_85036	38018	ASM2996529v1	GCA_029965295.1	GenBank		Complete Genome	49879	49879	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 1819_17781	38018	ASM2996530v1	GCA_029965305.1	GenBank		Complete Genome	29579	29579	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 1795_81221	38018	ASM2996531v1	GCA_029965315.1	GenBank		Complete Genome	43524	43524	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 1563_73323	38018	ASM2996532v1	GCA_029965325.1	GenBank		Complete Genome	44789	44789	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1370_43172	38018	ASM2996533v1	GCA_029965335.1	GenBank		Complete Genome	36693	36693	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1236_58772	38018	ASM2996534v1	GCA_029965345.1	GenBank		Complete Genome	50241	50241	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0202_76841	38018	ASM2996535v1	GCA_029965355.1	GenBank		Complete Genome	47848	47848	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0079_81810	38018	ASM2996536v1	GCA_029965365.1	GenBank		Complete Genome	34256	34256	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0037_76644	38018	ASM2996537v1	GCA_029965375.1	GenBank		Complete Genome	33891	33891	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0024_74167	38018	ASM2996538v1	GCA_029965385.1	GenBank		Complete Genome	58542	58542	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0013_37470	38018	ASM2996539v1	GCA_029965395.1	GenBank		Complete Genome	49214	49214	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1049_3338	38018	ASM2996540v1	GCA_029965405.1	GenBank		Complete Genome	60632	60632	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 0933_57019	38018	ASM2996541v1	GCA_029965415.1	GenBank		Complete Genome	47051	47051	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 0799_13517	38018	ASM2996542v1	GCA_029965425.1	GenBank		Complete Genome	55483	55483	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 2082_23350	38018	ASM2996543v1	GCA_029965435.1	GenBank		Complete Genome	46075	46075	2022-08-26		PRJNA862966	
Bacteriophage sp.		isolate: 4163_39744	38018	ASM2996544v1	GCA_029965445.1	GenBank		Complete Genome	49373	49373	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3584_27091	38018	ASM2996545v1	GCA_029965455.1	GenBank		Complete Genome	42926	42926	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3552_106289	38018	ASM2996546v1	GCA_029965465.1	GenBank		Complete Genome	45873	45873	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2922_101096	38018	ASM2996547v1	GCA_029965475.1	GenBank		Complete Genome	49626	49626	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2107_20852	38018	ASM2996548v1	GCA_029965485.1	GenBank		Complete Genome	49258	49258	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 2030_36401	38018	ASM2996549v1	GCA_029965495.1	GenBank		Complete Genome	44582	44582	2022-09-04		PRJNA862966	
Bacteriophage sp.		isolate: 2799_73204	38018	ASM2996550v1	GCA_029965505.1	GenBank		Complete Genome	66267	66267	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2714_9469	38018	ASM2996551v1	GCA_029965515.1	GenBank		Complete Genome	57526	57526	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2687_59523	38018	ASM2996552v1	GCA_029965525.1	GenBank		Complete Genome	58915	58915	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2677_18994	38018	ASM2996553v1	GCA_029965535.1	GenBank		Complete Genome	64799	64799	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2567_45411	38018	ASM2996554v1	GCA_029965545.1	GenBank		Complete Genome	29264	29264	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2501_13165	38018	ASM2996555v1	GCA_029965555.1	GenBank		Complete Genome	58963	58963	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2335_69942	38018	ASM2996556v1	GCA_029965565.1	GenBank		Complete Genome	45105	45105	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 1796_29957	38018	ASM2996557v1	GCA_029965575.1	GenBank		Complete Genome	40705	40705	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 1619_117553	38018	ASM2996558v1	GCA_029965585.1	GenBank		Complete Genome	43195	43195	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1528_28845	38018	ASM2996559v1	GCA_029965595.1	GenBank		Complete Genome	58822	58822	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1503_56389	38018	ASM2996560v1	GCA_029965605.1	GenBank		Complete Genome	51197	51197	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1484_83073	38018	ASM2996561v1	GCA_029965615.1	GenBank		Complete Genome	46996	46996	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1411_56481	38018	ASM2996562v1	GCA_029965625.1	GenBank		Complete Genome	35210	35210	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1234_1583	38018	ASM2996563v1	GCA_029965635.1	GenBank		Complete Genome	66060	66060	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 1187_10776	38018	ASM2996564v1	GCA_029965645.1	GenBank		Complete Genome	61638	61638	2022-09-02		PRJNA862966	
Bacteriophage sp.		isolate: 0782_23515	38018	ASM2996565v1	GCA_029965655.1	GenBank		Complete Genome	48572	48572	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: PF-P018_70851	38018	ASM2996566v1	GCA_029965665.1	GenBank		Complete Genome	61560	61560	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 4078_78213	38018	ASM2996567v1	GCA_029965675.1	GenBank		Complete Genome	45858	45858	2022-09-01		PRJNA862966	
Bacteriophage sp.		isolate: 3894_55722	38018	ASM2996568v1	GCA_029965685.1	GenBank		Complete Genome	45704	45704	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3798_73106	38018	ASM2996569v1	GCA_029965695.1	GenBank		Complete Genome	37284	37284	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 3033_78864	38018	ASM2996570v1	GCA_029965705.1	GenBank		Complete Genome	42040	42040	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2942_82474	38018	ASM2996571v1	GCA_029965715.1	GenBank		Complete Genome	25599	25599	2022-09-06		PRJNA862966	
Bacteriophage sp.		isolate: 2928_76833	38018	ASM2996572v1	GCA_029965725.1	GenBank		Complete Genome	32825	32825	2022-09-06		PRJNA862966	
